noop,fork-simple,vfork-simple
28,35601,12458
28,35790,11912
28,39638,13575
28,35864,12017
29,37194,12622
28,40182,11859
27,35823,15256
28,36263,11868
28,36010,12042
29,40455,11427
27,35930,11285
27,36177,11463
28,36339,11528
29,40082,11589
28,36215,12462
28,35870,11637
28,37224,13804
28,41309,11925
29,36814,11718
27,36581,11553
27,39933,12343
28,40765,11685
28,39977,15006
27,35847,12646
28,39258,11525
29,36936,11612
28,35351,11740
28,35605,11072
28,39387,12027
28,35150,17062
28,34592,13733
27,40086,11223
28,36273,11462
28,36733,11184
28,36506,11086
27,40321,11541
28,36084,12320
27,37116,15078
27,36373,11757
27,43124,11975
27,40346,11468
28,36049,11677
28,40323,11594
27,35642,11622
30,35901,13629
28,36116,11024
27,41593,12067
27,35577,11540
28,35789,11373
28,35974,11097
28,40980,11586
28,36101,12126
30,37029,14822
27,39011,12155
28,37499,11670
27,35694,11342
27,36659,11242
27,39887,14453
27,38444,13232
28,36181,11547
27,36699,11295
27,41966,11136
28,38722,11668
28,37117,11609
28,36293,10899
28,39636,11856
29,37173,11507
28,38473,11260
28,39839,15731
27,36126,11229
27,37837,11509
28,37424,11461
27,38960,13728
28,36453,11262
28,37441,11746
28,36100,11395
28,39106,11804
27,35436,11924
29,36326,11960
27,41522,11478
28,35436,11719
28,36929,11170
28,36604,11543
28,39976,15496
28,36199,11037
28,36581,15129
28,35958,13862
28,39673,11452
28,36228,11596
28,36051,11308
28,39775,11138
29,35714,11146
28,36075,11645
27,35752,11097
28,41985,11309
28,35627,11496
28,35827,11104
28,36288,11617
28,39083,11235
27,35262,14596
27,36324,14116
28,36424,11479
28,43221,11817
27,38236,11251
28,38511,11735
28,40432,11022
28,39233,13766
28,36797,11574
28,36297,11270
28,40358,11250
27,35659,12163
28,38221,11469
28,39992,11457
28,40294,14714
28,36514,16953
28,36286,11000
28,39582,11778
28,36833,11446
28,36058,12297
28,37787,12239
29,40252,11893
28,37185,11837
28,35635,11839
28,37427,13321
28,39801,12285
28,35782,13969
28,38235,11285
28,43944,11838
28,35919,13641
28,35938,14212
28,38590,15308
28,43303,11346
28,35603,11733
28,36373,14889
28,38249,11084
